,id,name,vector_id,datetime,score,rerunscore
193,27528,elog time gap vector at 2024-03-23 16:43:09Z,6,2024-03-23 09:43:09.869339-07,0.1063607530030654,0.00454574624022155
114,27622,elog time gap vector at 2024-03-23 20:43:12Z,6,2024-03-23 13:43:12.393799-07,0.1063607530030654,0.00825291146991303
185,27845,elog time gap vector at 2024-03-24 14:29:29Z,6,2024-03-24 07:29:29.312939-07,0.1063607530030654,0.00132687918539631
164,27947,elog time gap vector at 2024-03-24 19:06:08Z,6,2024-03-24 12:06:08.997433-07,0.1063607530030654,0.00264629668255532
42,28096,elog time gap vector at 2024-03-25 02:59:04Z,6,2024-03-24 19:59:04.26406-07,0.1063607530030654,0.00858053448250976
112,28352,elog time gap vector at 2024-03-25 16:21:26Z,6,2024-03-25 09:21:26.157326-07,0.1063607530030654,0.0604417745260694
119,28601,elog time gap vector at 2024-03-26 06:19:24Z,6,2024-03-25 23:19:24.52848-07,0.1063607530030654,0.000863123624298452
56,28698,elog time gap vector at 2024-03-26 15:52:29Z,6,2024-03-26 08:52:29.741701-07,0.1063607530030654,0.00360661705320863
187,28825,elog time gap vector at 2024-03-26 21:56:36Z,6,2024-03-26 14:56:36.744895-07,0.1063607530030654,0.00891486691364788
21,28956,elog time gap vector at 2024-03-27 12:37:36Z,6,2024-03-27 05:37:36.032485-07,0.1063607530030654,0.075256801013301
177,29096,elog time gap vector at 2024-03-27 18:53:50Z,6,2024-03-27 11:53:50.639804-07,0.1063607530030654,0.00020410886612464
175,29190,elog time gap vector at 2024-03-27 22:53:53Z,6,2024-03-27 15:53:53.379226-07,0.1063607530030654,0.000371890635869495
37,29285,elog time gap vector at 2024-03-28 03:14:30Z,6,2024-03-27 20:14:30.660778-07,0.1063607530030654,0.000713235520578757
70,29379,elog time gap vector at 2024-03-28 07:14:33Z,6,2024-03-28 00:14:33.398944-07,0.1063607530030654,0.00129898625946097
24,29474,elog time gap vector at 2024-03-28 13:16:56Z,6,2024-03-28 06:16:56.778544-07,0.1063607530030654,0.00320799134655196
154,29568,elog time gap vector at 2024-03-28 17:16:59Z,6,2024-03-28 10:16:59.535385-07,0.1063607530030654,0.00583063149633463
51,29689,elog time gap vector at 2024-03-28 22:46:34Z,6,2024-03-28 15:46:34.970046-07,0.1063607530030654,0.0131927691303983
113,29820,elog time gap vector at 2024-03-29 15:08:27Z,6,2024-03-29 08:08:27.623383-07,0.1063607530030654,0.134690005336458
